hour,total,total,total,total
,max,min,mean,sum
17,976,15,461.45205479452056,336860
18,977,23,425.510989010989,309772
8,839,5,359.01100412654745,261001
16,783,11,311.9835616438356,227748
19,743,11,311.52335164835165,226789
13,760,11,253.66117969821673,184919
12,776,3,253.31593406593407,184414
15,750,7,251.2331961591221,183149
14,750,12,240.94924554183814,175652
20,567,11,226.03021978021977,164550
9,426,14,219.30949105914718,159438
7,596,1,212.0646492434663,154171
11,663,10,208.1430536451169,151320
10,539,8,173.6685006877579,126257
21,584,6,172.31456043956044,125445
22,502,9,131.33516483516485,95612
23,256,2,87.83104395604396,63941
6,213,1,76.04413793103448,55132
0,283,2,53.89807162534435,39130
1,168,1,33.3756906077348,24164
2,132,1,22.86993006993007,16352
5,66,1,19.88981868898187,14261
3,79,1,11.727403156384504,8174
4,28,1,6.352941176470588,4428
